Date,Open,High,Low,Close,Adj Close,Volume
2012-09-04,41.754002,42.599998,41.754002,42.438,41.13858,5091000
2012-09-05,42.394001,42.542,42.035999,42.209999,40.917564,5526000
2012-09-06,42.5,43.259998,42.256001,43.259998,41.93541,9617000
2012-09-07,43.289001,43.679001,43.106998,43.619999,42.284386,6135000
2012-09-11,43.799999,44.59,43.75,44.286999,42.930973,7158000
2012-09-12,44.598999,44.833,44.375,44.640999,43.274132,6168000
2012-09-13,44.639999,45.659,44.591999,45.526001,44.132027,8119000
2012-09-20,44.752998,45.931999,44.724998,45.417999,44.02734,11339000
2012-09-21,45.931,46.179001,45.685001,45.952,44.544987,12850000
2012-09-24,45.75,45.75,45.307999,45.528999,44.134933,7608000
2012-09-25,45.759998,45.772999,45.129002,45.152,43.769478,5510000
2012-09-26,45.132,45.201,44.577,44.584,43.218876,4991000
2012-09-27,44.759998,45.216999,44.698002,45.216999,43.832489,4342000
2012-10-01,45.318001,46.013,45.25,45.688999,44.290039,6957000
2012-10-03,45.900002,47.467999,45.766998,47.375999,45.925388,11976000
2012-10-08,47.424,47.548,46.981998,47.193001,45.776913,5542000
2012-10-09,47.226002,47.299999,46.126999,46.487999,45.09306,8103000
2012-10-10,46.499001,46.516998,46.048,46.209,44.822433,5058000
2012-10-11,46.717999,47.582001,46.501999,47.257,45.838989,12626000
2012-10-15,47.234001,47.695,47.174999,47.582001,46.154236,8995000
2012-10-16,47.928001,48.151001,47.609001,47.901001,46.463673,4557000
2012-10-17,48.598999,48.608002,47.916,48.299999,46.850689,7248000
2012-10-18,48.247002,48.564999,47.437,47.583,46.155212,8788000
2012-10-19,47.463001,47.681,46.790001,47.006001,45.595516,10070000
2012-10-22,47.298,47.298,46.200001,46.693001,45.29192,7754000
2012-10-23,46.255001,46.474998,45.799999,45.986,44.606125,7294000
2012-10-24,46.474998,46.501999,45.299999,45.453999,44.090084,7083000
2012-10-25,45.650002,45.858002,44.737999,44.936001,43.587635,8938000
2012-10-26,44.936001,45.77,44.820999,45.298,43.938778,6852000
2012-10-31,45.251999,46.5,45.118,46.092999,44.709911,11930000
2012-11-01,46.341,47.499001,46.207001,46.868999,45.462631,9364000
2012-11-05,46.726002,47.096001,46.467999,46.564999,45.167747,6169000
2012-11-06,46.855999,47.289001,46.719002,47.178001,45.76236,4120000
2012-11-07,47.0,47.118999,46.151001,46.470001,45.0756,7637000
2012-11-08,46.431999,46.820999,46.18,46.18,44.7943,6203000
2012-11-09,45.852001,46.869999,45.848,46.466,45.07172,6420000
2012-11-12,46.568001,47.097,46.306999,47.0,45.589687,7025000
2012-11-14,47.266998,47.398998,46.233002,46.331001,44.940777,6080000
2012-11-15,46.292999,46.292999,45.356998,45.716,44.344234,7071000
2012-11-16,45.846001,47.046001,45.601002,46.459,45.064922,9029000
2012-11-19,46.939999,47.868,46.839001,47.868,46.431656,6813000
2012-11-28,47.573002,48.158001,47.477001,48.151001,46.706165,6584000
2012-11-29,48.419998,49.075001,48.324001,48.620998,47.162052,9080000
2012-11-30,48.577999,48.986,48.383999,48.868,47.401653,9826000
2012-12-04,48.763,48.799999,48.057999,48.341999,46.89143,6430000
2012-12-05,48.299999,48.400002,47.439999,47.799999,46.365692,6645000
2012-12-06,47.575001,48.088001,47.386002,48.088001,46.645054,5977000
2012-12-07,48.165001,48.284,47.601002,47.609001,46.180431,6389000
2012-12-10,48.035999,48.046001,47.548,47.959999,46.520893,5770000
2012-12-17,48.341999,48.990002,48.108002,48.931999,47.46373,7181000
2012-12-18,49.0,49.498001,48.780998,49.287998,47.809044,6621000
2012-12-19,49.48,49.488998,48.891998,48.938999,47.470512,5629000
2012-12-20,49.223,49.862,48.946999,49.853001,48.35709,9358000
2012-12-21,49.299999,49.688999,48.827,49.356998,47.875977,8320000
2012-12-26,49.452999,49.594002,48.5,48.619999,47.161083,5749000
2012-12-28,48.5,48.865002,48.285,48.307999,46.858452,4686000
2012-12-31,48.337002,49.192001,48.290001,49.127998,47.653839,6562000
2013-01-02,50.630001,51.027,50.099998,51.027,49.495872,12278000
2013-01-07,51.25,52.130001,51.166,51.952999,50.423679,11398000
2013-01-09,52.52,53.238998,52.266998,53.238998,51.671825,11461000
2013-01-10,53.247002,53.247002,52.429001,52.764999,51.211781,12564000
2013-01-14,52.955002,52.998001,52.123001,52.351002,50.809967,9911000
2013-01-24,51.792999,52.57,51.772999,52.226002,50.688648,5869000
2013-01-25,52.279999,52.279999,51.723999,51.942001,50.41301,7157000
2013-01-28,52.094002,52.094002,51.346001,51.411999,49.898605,8002000
2013-01-29,51.411999,52.075001,51.404999,51.848,50.321774,8833000
2013-02-04,51.629002,51.799999,51.209,51.422001,49.90831,6152000
2013-02-05,52.036999,52.202,51.68,52.069,50.536263,7983000
2013-02-06,52.014999,52.387001,51.810001,52.355,50.813847,6016000
2013-02-07,52.189999,52.330002,51.625,51.955002,50.425629,6517000
2013-02-08,51.846001,52.446999,51.831001,52.446999,50.90313,5214000
2013-02-11,52.562,52.616001,51.923,52.084999,50.551788,5616000
2013-02-14,51.615002,52.326,51.615002,52.216,50.678951,6656000
2013-02-20,52.200001,52.421001,51.291,51.291,49.781174,5377000
2013-02-21,51.400002,52.092999,51.056,51.959,50.429508,6814000
2013-02-22,52.291,52.443001,51.729,52.382999,50.841015,6591000
2013-02-25,52.534,52.599998,51.09,51.09,49.58609,8672000
2013-02-27,51.096001,51.617001,50.797001,51.519001,50.00246,6994000
2013-02-28,51.519001,52.137001,51.339001,51.782001,50.257717,6148000
2013-03-04,51.598,52.241001,51.576,52.140999,50.606144,3486000
2013-03-05,52.252998,53.077999,52.185001,52.709999,51.158394,5895000
2013-03-12,52.987,53.098999,52.223,52.316002,50.776005,4798000
2013-03-13,52.233002,52.837002,52.112,52.748001,51.195278,4715000
2013-03-15,52.598999,52.882999,51.821999,51.937,50.408157,11598000
2013-03-18,51.530998,51.966,51.473,51.500999,49.984985,5626000
2013-03-19,51.622002,51.784,50.816002,51.16,49.654034,6309000
2013-03-20,51.599998,51.869999,51.435001,51.862,50.335365,4552000
2013-03-21,51.644001,51.771999,51.321999,51.401001,49.887932,5505000
2013-03-22,51.582001,51.877998,51.553001,51.75,50.226662,5052000
2013-03-26,52.299999,53.719002,52.222,53.547001,51.970768,9106000
2013-03-28,53.84,54.195999,53.689999,54.112999,52.5201,6689000
2013-04-01,54.243999,54.689999,53.599998,53.723,52.141582,5501000
2013-04-02,54.07,54.398998,53.902,54.058998,52.467686,3696000
2013-04-03,54.084999,54.296001,53.039001,53.325001,51.755299,5330000
2013-04-08,53.069,53.566002,52.978001,53.437,51.922321,3631000
2013-04-09,53.400002,53.435001,52.314999,52.764,51.268387,9011000
2013-04-10,52.966999,53.798,52.842999,53.443001,51.928154,4839000
2013-04-11,53.442001,54.231998,53.257,54.124001,52.589851,5679000
2013-04-12,53.465,53.641998,52.960999,53.299,51.788223,6794000
2013-04-15,53.022999,53.384998,52.171001,52.171001,50.692204,5281000
2013-04-16,52.311001,53.158001,52.206001,53.158001,51.651222,5494000
2013-04-17,52.724998,53.085999,52.467999,52.576,51.08572,6310000
2013-04-18,52.575001,52.647999,52.099998,52.099998,50.623215,6434000
2013-04-23,52.594002,53.118999,52.359001,53.099998,51.59486,3569000
2013-04-25,53.412998,53.900002,52.514999,53.514,51.997131,3787000
2013-04-29,53.748001,53.999001,53.535,53.901001,52.373161,3809000
2013-04-30,53.979,55.292999,53.957001,55.292999,53.7257,7987000
2013-05-01,53.876999,54.485001,53.602001,53.981998,52.451866,10110000
2013-05-02,53.599998,54.733002,53.569,54.553001,53.006687,9470000
2013-05-03,55.174,55.765999,55.063,55.355,53.785954,7941000
2013-05-06,55.360001,55.676998,54.702999,54.772999,53.22044,6063000
2013-05-07,54.807999,55.193001,54.543999,55.125999,53.563438,4333000
2013-05-10,55.379002,55.754002,53.379002,55.513,53.939465,4670000
2013-05-14,55.785999,57.125,55.641998,56.967999,55.353226,6568000
2013-05-15,57.034,57.494999,56.916,57.436001,55.807964,6555000
